event_code,mapped_in_catalog,unknown_in_catalog,source_record_id,categoria_incidente,fase_vuelo,nivel_riesgo,mapping_rule_source
ARC,True,False,JST-RAW-89927439-23,Pista,Aterrizaje,Critico,tabla_jst_event_code_mapping
CFIT,True,False,JST-RAW-89927439-23,Pista,Aterrizaje,Critico,tabla_jst_event_code_mapping
F-POST,True,False,JST-RAW-89927439-23,Pista,Aterrizaje,Critico,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-34614024-20,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-34847138-20,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-35562234-20,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-36068137-2020,Tecnico,En vuelo,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-44727485-2020,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
USOS,True,False,JST-RAW-53682470-2020,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-55235134-2020,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
ARC,True,False,JST-RAW-72771474-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-72771474-22,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LOC-G,True,False,JST-RAW-60896240-20,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-60896240-20,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-60896240-20,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-66729421-2020,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
OTHR,True,False,JST-RAW-66729421-2020,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-67758415-20,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-68704744-2020,Tecnico,En vuelo,Critico,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-68704744-2020,Tecnico,En vuelo,Critico,tabla_jst_event_code_mapping
LOC-I,True,False,JST-RAW-77459814-2020,Operacion,En vuelo,Critico,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-70329590-20,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
OTHR,True,False,JST-RAW-72216558-2020,Operacion,En vuelo,Medio,tabla_jst_event_code_mapping
USOS,True,False,JST-RAW-74339534-2020,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
GTOW,True,False,JST-RAW-74340779-2020,Operacion,Despegue,Alto,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-74344013-2020,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
RE,True,False,JST-RAW-75511048-2020,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
SCF-NP,True,False,JST-RAW-75511048-2020,Pista,Aterrizaje,Alto,tabla_jst_event_code_mapping
OTHR,True,False,JST-RAW-78780080-2020,Operacion,En vuelo,Medio,tabla_jst_event_code_mapping
SCF-PP,True,False,JST-RAW-79286405-2020,Tecnico,Ascenso inicial,Alto,tabla_jst_event_code_mapping
CFIT,True,False,JST-RAW-19695992-23,Operacion,Maniobra a baja altura,Critico,tabla_jst_event_code_mapping
