source_record_id,fecha_hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,tipo_incidente,categoria_incidente,fase_vuelo,descripcion,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo,event_codes,mapped_event_codes,unknown_event_codes,mapping_rule_source,mapping_version
JST-RAW-89927439-23,2020-05-06T01:45:00,,,Esquel,Chubut,"ARC (Abnormal runway contact), F-POST (Fire/smoke Post-Impact), CFIT (Controlled fligth into or toward terrain)",Pista,Aterrizaje,"Accidente | ARC (Abnormal runway contact), F-POST (Fire/smoke Post-Impact), CFIT (Controlled fligth into or toward terrain) | Non-Commercial Operations / Relocation / Delivery | Esquel, Chubut",,LV-BXU,,,,,,-42.903889,-71.135556,0,0,Critico,ARC|CFIT|F-POST,ARC|CFIT|F-POST,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-34614024-20,2020-05-27T16:15:00,,,San Martín,Mendoza,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Flight Training/Instructional / Dual | San Martín, Mendoza",,LV-AOX,,,,,,-25.737222,-54.373333,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-34847138-20,2020-05-28T16:05:00,,,Añatuya,Santiago Del Estero,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Specialised Operations / Aerial Work / Other | Añatuya, Santiago Del Estero",,LV-LMS,,,,,,-28.476944,-65.845,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-35562234-20,2020-06-01T16:50:00,,,Marcos Juarez,Cordoba,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Unknown / Unknown / Se desconoce | Marcos Juarez, Cordoba",,LV-HFZ,,,,,,-31.283333,-64.466667,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-36068137-2020,2020-06-03T17:00:00,,,Resistencia (SARE),Chaco,SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Specialised Operations / Aerial Work / Other | Resistencia (SARE), Chaco",,LV-YIC,,,,,,-27.45,-59.056111,0,0,Alto,SCF-NP,SCF-NP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-44727485-2020,2020-06-17T18:30:00,,,Brasilia,Brasilia,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente grave | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Acrobatics | Brasilia, Brasilia",,PP-GLX,,,,,,-25.399167,-49.39,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-57834817-2020,2020-08-05T13:33:00,,,Rancho San Isidro,Guanajuato,Accidente,Operacion,Maniobra a baja altura,"Accidente | Specialised Operations / Aerial Work / Agricultural | Rancho San Isidro, Guanajuato",,XB-SEY,,,,,,-34.654167,-58.643889,0,0,Alto,,,,heuristica_textual,jst_event_code_mapping.csv
JST-RAW-53682470-2020,2020-08-14T11:00:00,,,General Rodríguez,Buenos Aires,USOS (Undershoot/overshoot),Pista,Aterrizaje,"Accidente | USOS (Undershoot/overshoot) | Non-Commercial Operations / Relocation / Positioning | General Rodríguez, Buenos Aires",,LV-FEX,,,,,,-34.680278,-59.035833,0,0,Alto,USOS,USOS,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-55235134-2020,2020-08-15T15:40:00,,,Estancia Cerro Sólo,Cordoba,SCF-PP (Powerplant failure or malfunction),Tecnico,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Bussiness / Bussiness | Estancia Cerro Sólo, Cordoba",,LV-ZXR,,,,,,-30.777222,-62.977778,0,0,Alto,SCF-PP,SCF-PP,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
JST-RAW-72771474-22,2020-08-26T17:10:00,,,Guaratinguetá,Sao Pablo,"ARC (Abnormal runway contact), RE (Runway Excursion)",Pista,Aterrizaje,"Accidente | ARC (Abnormal runway contact), RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Dual | Guaratinguetá, Sao Pablo",,PP-GMC,,,,,,-22.791,-45.204,0,0,Alto,ARC|RE,ARC|RE,,tabla_jst_event_code_mapping,jst_event_code_mapping.csv
