fuente,source_record_id,fecha_hora,fecha,hora,aeropuerto_icao,aeropuerto_nombre,ciudad,provincia,fase_vuelo,descripcion,tipo_incidente,categoria_incidente,aeronave_modelo,aeronave_matricula,tipo_aeronave,condicion_meteorologica,condicion_luz,visibilidad_millas,viento_kt,latitud,longitud,lesionados,fatalidades,nivel_riesgo
JST,JST-RAW-89927439-23,2020-05-06T01:45:00,2020-05-06,0145,,,Esquel,Chubut,Aterrizaje,"Accidente | ARC (Abnormal runway contact), F-POST (Fire/smoke Post-Impact), CFIT (Controlled fligth into or toward terrain) | Non-Commercial Operations / Relocation / Delivery | Esquel, Chubut","ARC (Abnormal runway contact), F-POST (Fire/smoke Post-Impact), CFIT (Controlled fligth into or toward terrain)",Pista,,LV-BXU,,,,,,-42.903889,-71.135556,0,0,Critico
JST,JST-RAW-34614024-20,2020-05-27T16:15:00,2020-05-27,1615,,,San Martín,Mendoza,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Non-Commercial Operations / Flight Training/Instructional / Dual | San Martín, Mendoza",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-AOX,,,,,,-25.737222,-54.373333,0,0,Alto
JST,JST-RAW-34847138-20,2020-05-28T16:05:00,2020-05-28,1605,,,Añatuya,Santiago Del Estero,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Specialised Operations / Aerial Work / Other | Añatuya, Santiago Del Estero",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-LMS,,,,,,-28.476944,-65.845,0,0,Alto
JST,JST-RAW-35562234-20,2020-06-01T16:50:00,2020-06-01,1650,,,Marcos Juarez,Cordoba,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Unknown / Unknown / Se desconoce | Marcos Juarez, Cordoba",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-HFZ,,,,,,-31.283333,-64.466667,0,0,Alto
JST,JST-RAW-36068137-2020,2020-06-03T17:00:00,2020-06-03,1700,,,Resistencia (SARE),Chaco,En vuelo,"Incidente | SCF-NP (System/component failure or malfunction (No Powerplant) | Specialised Operations / Aerial Work / Other | Resistencia (SARE), Chaco",SCF-NP (System/component failure or malfunction (No Powerplant),Tecnico,,LV-YIC,,,,,,-27.45,-59.056111,0,0,Alto
JST,JST-RAW-44727485-2020,2020-06-17T18:30:00,2020-06-17,1830,,,Brasilia,Brasilia,Ascenso inicial,"Incidente grave | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Flight Training/Instructional / Acrobatics | Brasilia, Brasilia",SCF-PP (Powerplant failure or malfunction),Tecnico,,PP-GLX,,,,,,-25.399167,-49.39,0,0,Alto
JST,JST-RAW-57834817-2020,2020-08-05T13:33:00,2020-08-05,1333,,,Rancho San Isidro,Guanajuato,Maniobra a baja altura,"Accidente | Specialised Operations / Aerial Work / Agricultural | Rancho San Isidro, Guanajuato",Accidente,Operacion,,XB-SEY,,,,,,-34.654167,-58.643889,0,0,Alto
JST,JST-RAW-53682470-2020,2020-08-14T11:00:00,2020-08-14,1100,,,General Rodríguez,Buenos Aires,Aterrizaje,"Accidente | USOS (Undershoot/overshoot) | Non-Commercial Operations / Relocation / Positioning | General Rodríguez, Buenos Aires",USOS (Undershoot/overshoot),Pista,,LV-FEX,,,,,,-34.680278,-59.035833,0,0,Alto
JST,JST-RAW-55235134-2020,2020-08-15T15:40:00,2020-08-15,1540,,,Estancia Cerro Sólo,Cordoba,Ascenso inicial,"Incidente | SCF-PP (Powerplant failure or malfunction) | Non-Commercial Operations / Bussiness / Bussiness | Estancia Cerro Sólo, Cordoba",SCF-PP (Powerplant failure or malfunction),Tecnico,,LV-ZXR,,,,,,-30.777222,-62.977778,0,0,Alto
JST,JST-RAW-72771474-22,2020-08-26T17:10:00,2020-08-26,1710,,,Guaratinguetá,Sao Pablo,Aterrizaje,"Accidente | ARC (Abnormal runway contact), RE (Runway Excursion) | Non-Commercial Operations / Flight Training/Instructional / Dual | Guaratinguetá, Sao Pablo","ARC (Abnormal runway contact), RE (Runway Excursion)",Pista,,PP-GMC,,,,,,-22.791,-45.204,0,0,Alto
JST,JST-RAW-77463989-2020,2020-09-03T14:45:00,2020-09-03,1445,,,Campo la banana,Mexico,Maniobra a baja altura,"Accidente | Specialised Operations / Aerial Work / Agricultural | Campo la banana, Mexico",Accidente,Operacion,,XB-XES,,,,,,-31.794722,-60.373889,0,0,Alto
